clinic_name,latitude,longitude,ACE inhibitors,Alcohol cessation,Analgesics,Antacids,Antibiotics,Anticholinergics,Anticonvulsants,Antidiarrheal drugs,Antiemetic drugs,Antifungal Cream,Antifungal drugs,Antihistamines,Antihypertensive medications,Antimalarial drugs,Antipyretics,Antiretroviral drugs,Antiseptics,Antispasmodics,Antithyroid medications,Antiviral drugs,Antiviral medications,Aspirin,Beta-blockers,Biofeedback,Biologics,Blood thinners,Bronchodilators,Calcium channel blockers,Canalith repositioning,Candy or juice,Cholestyramine,Clot-dissolving medications,Clotrimazole,Coal tar,Cold compresses,Compression stockings,Corticosteroids,Cough suppressants,Cytoprotective agents,DPP-4 inhibitors,Decongestants,Diazoxide,Disease-modifying antirheumatic drugs (DMARDs),Diuretics,Elevating the legs,Entry inhibitors,Epinephrine,Ergotamine derivatives,Ethambutol,Exercise,Fluconazole,Fusion inhibitors,GLP-1 receptor agonists,Glucagon injection,Glucose tablets,H2 Blockers,Hormonal treatments,Hot and cold packs,IV dextrose,Inhaled corticosteroids,Insulin,Integrase inhibitors,Isoniazid,Isotretinoin,Joint protection,Ketoconazole,Laser treatments,Laxatives,Leukotriene modifiers,Levothyroxine,Mast cell stabilizers,Medications for itching,Medications for nausea,Metformin,Methotrexate,Muscle relaxants,NSAIDs,Neck braces,Nitroglycerin,Nutritional support,Ointments,Oral antibiotics,Oral medications,Pain relievers,Phenazopyridine,Preventive medications,Probiotics,Prokinetics,Protease inhibitors,Proton Pump Inhibitors (PPIs),Pyrazinamide,Radioactive iodine,Rifampin,Sulfonylureas,Systemic medications,Terbinafine,Thrombolytic drugs,Topical antibiotics,Topical treatments,Triptans,Urinary analgesics,Ursodeoxycholic acid,Vaccination,Vestibular rehabilitation,Warm compresses
Banff Trail Medical,51.0695,-114.1221,29,25,47,48,17,35,29,,2,,31,,21,35,21,,32,,5,10,33,7,,,35,45,,8,2,6,31,34,2,,26,35,44,,,9,41,17,33,45,,,43,30,3,32,,32,37,43,19,30,18,,37,15,,,,,13,,18,,6,18,34,2,31,,,8,31,46,44,48,,4,11,2,20,28,35,7,35,10,23,32,13,,22,,19,45,,13,,34,24,,28
Brentwood Medical Centre,51.0858,-114.1365,8,42,44,14,,14,32,8,23,6,,,8,,33,42,22,,3,,43,50,13,,,17,19,50,30,5,26,34,43,42,,25,41,,1,24,,,,,44,1,24,,10,,,17,12,36,43,12,45,,,5,16,43,32,,,44,31,32,9,23,2,5,3,,,38,48,,11,46,7,19,14,,30,14,28,,11,,,10,31,18,,37,46,45,41,9,,43,,41,8
Crowfoot Village Family Practice,51.1249,-114.2013,39,16,47,40,,,22,37,33,3,16,11,,44,18,,22,30,16,,,29,,47,18,,,37,,,3,15,11,21,35,,26,11,38,35,,14,,36,4,,6,19,,46,42,40,42,,,44,2,39,6,18,33,39,,,29,3,,,32,25,36,41,16,47,34,,26,34,46,,,,25,17,28,,7,,26,40,24,32,32,21,,40,24,,44,43,3,22,10,28,
Dalhousie Station Medical Clinic,51.1013,-114.1594,23,47,17,,42,,,42,2,36,,,33,,31,,22,19,22,10,33,25,30,5,,,41,,33,,12,34,23,5,15,39,45,,11,49,,40,4,43,,40,33,30,33,,,25,27,11,,,42,1,,48,48,36,15,,32,15,25,33,12,,42,47,10,,29,34,2,,2,,45,25,,,,6,33,2,34,11,17,17,11,,,10,30,35,31,43,,34,,,43
Foothills Medical Clinic,51.0668,-114.1345,24,44,40,,41,14,6,15,26,3,49,,22,,,,42,26,14,32,43,,,25,44,,15,,,37,,38,31,26,22,39,33,,,,19,6,10,20,42,47,43,45,28,37,12,22,,36,9,,,3,,5,,13,,12,14,14,,13,,46,,39,41,20,,26,,,3,23,13,36,21,8,20,43,39,21,18,8,,40,17,,34,4,,5,,4,49,6,,25,30
Kensington Medical Clinic,51.0542,-114.0853,40,3,,24,,9,44,32,,,48,35,46,,,,,23,47,,13,10,48,21,,31,3,17,47,,,15,16,,28,44,21,38,3,,26,,10,10,,9,28,16,,14,,,,,,,13,30,13,,,39,4,11,11,44,,13,,8,12,2,20,2,47,30,9,11,8,16,21,50,42,36,,23,37,15,41,,,2,,23,,45,36,,21,27,25,,32,3,19
Market Mall Medical Centre,51.0848,-114.1539,,,42,45,,,30,41,4,7,,25,38,41,50,36,37,12,46,4,46,24,13,,,44,,20,21,,17,42,40,26,24,13,48,2,50,11,,8,38,6,9,26,49,18,,48,30,,12,35,9,49,32,,,45,42,13,36,,17,9,22,22,,,18,17,12,37,23,17,,7,6,15,,49,39,,30,5,29,23,29,15,46,3,25,,16,7,48,49,44,15,,5,20,,
Montgomery Medical Clinic,51.0753,-114.1691,2,9,29,15,33,13,,49,17,33,32,29,8,,22,,44,1,,16,50,,,,40,27,12,48,,21,47,,25,9,,4,11,8,5,,42,15,47,47,29,25,20,47,3,10,44,45,7,,1,16,,,,29,27,49,27,32,,22,,38,7,32,15,28,,,20,,,15,,11,9,,,47,6,,38,39,21,,,4,14,,6,14,30,5,22,11,,,4,35,
North Hill Medical Centre,51.0675,-114.1043,,4,,25,23,32,28,12,,39,9,46,34,46,27,46,,32,16,49,17,,12,,50,19,,46,27,46,37,,,47,7,41,30,45,44,35,40,,,43,41,,20,28,8,23,22,37,17,24,43,,46,48,8,,,40,12,,29,2,12,46,16,18,26,37,20,35,45,,,7,,4,24,,24,16,8,2,37,13,,45,,,25,33,,,33,,35,,33,,,23,16
Riley Park Health Centre,51.0678,-114.1348,,,,,37,32,33,2,34,,19,35,33,,26,,6,48,48,,29,18,,42,,3,38,6,33,45,2,17,29,47,23,47,9,,40,,40,30,15,13,,,28,30,47,,,18,28,,25,,49,46,,40,43,24,10,26,,,,15,22,19,,1,43,5,50,,31,19,5,,42,17,19,30,,50,,50,17,32,,50,30,19,,4,49,39,14,7,4,34,40,,
University Health Centre,51.0773,-114.1313,21,9,,,,37,27,,11,28,,41,33,,,,30,45,,20,,32,,,29,50,28,,35,1,,20,,43,47,22,31,4,,,38,,,18,46,27,40,4,33,19,30,42,,,3,,44,15,45,27,,,22,34,20,13,16,44,3,32,,,,14,8,25,,25,37,34,,37,38,16,16,15,35,18,41,,,36,,30,4,24,47,,16,26,7,,,19,21
Varsity Family Clinic,51.0842,-114.1542,22,2,,24,27,45,13,17,,,,4,48,,43,28,40,16,30,50,34,32,28,,19,20,28,,21,32,,34,19,,18,8,36,33,37,29,15,,47,47,26,,1,29,8,18,46,38,2,36,44,16,44,24,43,,31,19,18,,5,21,28,11,42,3,44,45,37,20,,33,,32,36,4,26,28,39,16,34,,28,32,48,8,5,40,46,,,18,,,31,14,33,39,,11,
