Disease,Sample_Count
cystitis,1219
vulvodynia,1218
nose disorder,1218
complex regional pain syndrome,1217
spondylosis,1216
conjunctivitis due to allergy,1215
hypoglycemia,1215
vaginal cyst,1215
peripheral nerve disorder,1215
esophagitis,1215
gastrointestinal hemorrhage,1214
diverticulitis,1214
acute bronchitis,1213
fungal infection of the hair,1212
sprain or strain,1212
infectious gastroenteritis,1212
spontaneous abortion,1212
pneumonia,1212
gout,1211
strep throat,1210
marijuana abuse,1210
arthritis of the hip,1210
injury to the arm,1209
liver disease,1209
bursitis,1208
acute pancreatitis,1207
spinal stenosis,1207
eczema,1207
benign prostatic hyperplasia (bph),1206
noninfectious gastroenteritis,1206
injury to the leg,1206
acute bronchiolitis,1204
cholecystitis,1204
anxiety,1198
obstructive sleep apnea (osa),1196
concussion,1191
dental caries,1185
chronic constipation,913
problem during pregnancy,913
sickle cell crisis,913
sebaceous cyst,913
depression,912
psoriasis,912
hyperemesis gravidarum,912
pyogenic skin infection,911
personality disorder,911
developmental disability,911
seasonal allergies (hay fever),910
otitis media,910
urinary tract infection,910
acute stress reaction,910
multiple sclerosis,910
sinus bradycardia,909
degenerative disc disease,909
conjunctivitis,909
eustachian tube dysfunction (ear disorder),909
contact dermatitis,909
macular degeneration,909
actinic keratosis,909
vaginitis,909
drug reaction,909
sepsis,909
panic disorder,909
skin pigmentation disorder,909
idiopathic irregular menstrual cycle,908
pain after an operation,908
acute kidney injury,908
stye,908
hemorrhoids,908
herniated disk,908
ear drum damage,907
brachial neuritis,907
heart attack,907
acute sinusitis,906
chronic obstructive pulmonary disease (copd),906
acute bronchospasm,906
idiopathic excessive menstruation,906
blepharitis,906
hiatal hernia,906
angina,906
idiopathic painful menstruation,906
injury to the trunk,905
threatened pregnancy,905
common cold,905
allergy,905
otitis externa (swimmer's ear),904
kidney stone,904
croup,904
asthma,904
gallstone,904
cornea infection,903
appendicitis,903
heart failure,903
pyelonephritis,903
rectal disorder,902
neurosis,902
hypertensive heart disease,902
psychotic disorder,902
pelvic inflammatory disease,900
chronic back pain,899
skin polyp,897
diaper rash,897
temporary or benign blood in urine,897
carpal tunnel syndrome,896
osteoarthritis,896
gum disease,894
schizophrenia,890
ischemic heart disease,886
smoking or tobacco addiction,883
fracture of the rib,882
pulmonary embolism,880
seborrheic dermatitis,880
seborrheic keratosis,870
dry eye of unknown cause,861
bell palsy,685
lipoma,684
neuralgia,684
iron deficiency anemia,683
acute otitis media,683
fungal infection of the skin,683
impetigo,683
urinary tract obstruction,683
gastroduodenal ulcer,683
benign vaginal discharge (leukorrhea),682
varicocele of the testicles,682
prostatitis,681
conjunctivitis due to virus,681
oral thrush (yeast infection),681
sensorineural hearing loss,681
gastritis,679
flu,679
conduct disorder,679
chalazion,678
laryngitis,678
muscle spasm,678
ear wax impaction,678
rheumatoid arthritis,678
tendinitis,678
fracture of the leg,678
rosacea,678
chronic pain disorder,677
corneal disorder,676
mononeuritis,676
skin disorder,676
hemangioma,676
ganglion cyst,675
spondylolisthesis,673
diabetic ketoacidosis,673
diverticulosis,673
tooth disorder,671
paroxysmal ventricular tachycardia,671
tooth abscess,669
chronic otitis media,669
insect bite,669
sciatica,668
chronic glaucoma,668
alcohol withdrawal,665
bipolar disorder,663
skin cancer,661
chronic sinusitis,657
hyperkalemia,657
fibromyalgia,656
transient ischemic attack,655
labyrinthitis,654
stroke,642
vaginal yeast infection,608
pleural effusion,607
deviated nasal septum,607
cataract,607
post-traumatic stress disorder (ptsd),607
heart block,606
ankylosing spondylitis,606
erectile dysfunction,606
oral mucosal lesion,606
ingrown toe nail,604
drug abuse (opioids),604
intracerebral hemorrhage,603
drug abuse,603
viral exanthem,601
conductive hearing loss,598
delirium,598
callus,513
parkinson disease,513
epididymitis,511
interstitial lung disease,511
social phobia,511
molluscum contagiosum,511
irritable bowel syndrome,510
alcohol abuse,510
injury to the shoulder,510
sialoadenitis,509
attention deficit hyperactivity disorder (adhd),507
lymphedema,505
onychomycosis,505
itching of unknown cause,504
hemiplegia,504
mitral valve disease,504
white blood cell disease,504
adjustment reaction,503
breast infection (mastitis),501
corneal abrasion,500
dysthymic disorder,499
ovarian cyst,499
glaucoma,498
pulmonary congestion,497
iridocyclitis,496
acne,496
hyponatremia,495
urge incontinence,495
postpartum depression,494
eating disorder,494
idiopathic absence of menstruation,493
hypokalemia,478
yeast infection,470
diabetic retinopathy,456
injury to the face,455
envenomation from spider or animal bite,455
food allergy,454
bladder disorder,454
obsessive compulsive disorder (ocd),454
balanitis,454
urethritis,453
lymphadenitis,453
eye alignment disorder,453
viral warts,453
diabetic peripheral neuropathy,452
autism,452
aortic valve disease,451
acute respiratory distress syndrome (ards),451
spondylitis,451
thrombophlebitis,451
herpangina,450
uterine fibroids,450
fracture of the facial bones,449
joint effusion,449
ileus,449
myopia,448
gastroesophageal reflux disease (gerd),448
indigestion,447
pulmonary hypertension,446
tonsillitis,446
dermatitis due to sun exposure,446
intestinal obstruction,445
benign paroxysmal positional vertical (bppv),443
choledocholithiasis,441
atrophic skin condition,438
teething syndrome,438
pelvic organ prolapse,438
paronychia,438
fracture of the arm,437
oppositional disorder,431
hypovolemia,424
abdominal hernia,407
inguinal hernia,402
pain disorder affecting the neck,387
cervicitis,384
intestinal disease,383
athlete's foot,382
peritonitis,381
shingles (herpes zoster),379
